table,column,type,pk,fk
t_ord_item,oitem_code,varchar(128),,
t_ord_item,oitem_comment,nvarchar,,
t_ord_item,oitem_comment_in_bdl,bit,,
t_ord_item,oitem_compl_label,nvarchar(192),,
t_ord_item,oitem_delivered_in_amount,bit,,
t_ord_item,oitem_delivery_date,datetime,,
t_ord_item,oitem_delivery_free,bit,,
t_ord_item,oitem_delivery_real_date,datetime,,
t_ord_item,oitem_discount_percent,decimal,,
t_ord_item,oitem_discounted_price_entry,decimal,,
t_ord_item,oitem_end_date,date,,
t_ord_item,oitem_ext_code,varchar(128),,
t_ord_item,oitem_id,int,yes,
t_ord_item,oitem_id_from,int,,
t_ord_item,oitem_id_order_origin,int,,
t_ord_item,oitem_id_origin,int,,
t_ord_item,oitem_id_parent,int,,
t_ord_item,oitem_incoterm_place,nvarchar(192),,
t_ord_item,oitem_label,nvarchar(192),,
t_ord_item,oitem_net_price_entry,decimal,,
t_ord_item,oitem_order_free,bit,,
t_ord_item,oitem_ordered_in_amount,bit,,
t_ord_item,oitem_origin_info,varchar(128),,
t_ord_item,oitem_partial_delivery_qty,int,,
t_ord_item,oitem_price,decimal,,
t_ord_item,sup_id,int,,t_sup_supplier.sup_id
t_ord_item,oitem_price_basis_quantity,decimal,,
t_ord_item,oitem_price_entry,decimal,,
t_ord_item,oitem_price_updated,datetime,,
t_ord_item,oitem_psp_tm,bit,,
t_ord_item,oitem_quantity,decimal,,
t_ord_item,oitem_seq,int,,
t_ord_item,oitem_sup_auxiliary_ref,varchar(128),,
t_ord_item,oitem_sup_ref,varchar(128),,
t_ord_item,oitem_tax_amount_line,decimal,,
t_ord_item,oitem_total_amount,decimal,,
t_ord_item,ord_delivered,bit,,
t_ord_item,ord_id,int,,t_ord_order.ord_id
t_ord_item,ord_invoiced,bit,,
t_ord_item,revision,timestamp,,
t_ord_item,sold_by_quantity,decimal,,
t_ord_item,status_code,varchar(128),,
t_ord_item,tva_value,decimal,,
t_ord_order,basket_id,int,,t_ord_basket.basket_id
t_ord_order,created,datetime,,
t_ord_order,last_status_code,varchar(128),,
t_ord_order,modified,datetime,,
t_ord_order,ord_advance_fee,decimal,,
t_ord_order,ord_amendment_num,int,,
t_ord_order,ord_code_calculated,varchar(23),,
t_ord_order,ord_comment_ar,nvarchar,,
t_ord_order,ord_comment_de,nvarchar,,
t_ord_order,ord_comment_en,nvarchar,,
t_ord_order,ord_comment_es,nvarchar,,
t_ord_order,ord_comment_fr,nvarchar,,
t_ord_order,ord_comment_it,nvarchar,,
t_ord_order,ord_comment_ja,nvarchar,,
t_ord_order,ord_comment_pl,nvarchar,,
t_ord_order,ord_comment_pt,nvarchar,,
t_ord_order,ord_comment_zh,nvarchar,,
t_ord_order,ord_ext_code,varchar(128),,
t_ord_order,ord_free_budget,bit,,
t_ord_order,ord_id,int,yes,
t_ord_order,ord_id_origin,int,,
t_ord_order,ord_inco_place,nvarchar(192),,
t_ord_order,ord_label_ar,nvarchar(192),,
t_ord_order,ord_label_de,nvarchar(192),,
t_ord_order,ord_label_en,nvarchar(192),,
t_ord_order,ord_label_es,nvarchar(192),,
t_ord_order,ord_label_fr,nvarchar(192),,
t_ord_order,ord_label_it,nvarchar(192),,
t_ord_order,ord_label_ja,nvarchar(192),,
t_ord_order,ord_label_pl,nvarchar(192),,
t_ord_order,ord_label_pt,nvarchar(192),,
t_ord_order,orga_id,int,,x_orga_all.orga_id
t_ord_order,ord_label_zh,nvarchar(192),,
t_ord_order,ord_order_date,datetime,,
t_ord_order,ord_payment_order,nvarchar(192),,
t_ord_order,ord_ref,varchar(128),,
t_ord_order,ord_track_timesheet,bit,,
t_ord_order,revision,timestamp,,
t_ord_order,status_code,varchar(128),,
t_bas_address,adr_id,int,yes,
t_bas_address,adr_id_from,int,,
t_bas_address,adr_nom_complt,nvarchar(192),,
t_bas_address,adr_num,nvarchar(10),,
t_bas_address,adr_voie,nvarchar(192),,
t_bas_address,adr_voie_complt,nvarchar(192),,
t_bas_address,area_level,varchar(128),,
t_bas_address,area_node,varchar(128),,
t_bas_address,country_code,varchar(128),,
t_bas_address,revision,timestamp,,
t_bas_address,state_guid,uniqueidentifier,,
t_bas_address,status_code,varchar(128),,
t_bas_address,zip_code,nvarchar(25),,
t_bas_address,zip_label_ar,nvarchar(192),,
t_bas_address,zip_label_de,nvarchar(192),,
t_bas_address,zip_label_en,nvarchar(192),,
t_bas_address,zip_label_es,nvarchar(192),,
t_bas_address,zip_label_fr,nvarchar(192),,
t_bas_address,zip_label_it,nvarchar(192),,
t_bas_address,zip_label_ja,nvarchar(192),,
t_bas_address,zip_label_pl,nvarchar(192),,
t_bas_address,zip_label_pt,nvarchar(192),,
t_bas_address,zip_label_zh,nvarchar(192),,
x_orga_all,orga_id,int,yes,
x_orga_all,orga_node,nvarchar(192),,
x_orga_all,orga_level,nvarchar(192),,
x_orga_all,orga_label_fr,nvarchar(192),,
x_orga_all,orga_label_en,nvarchar(192),,
t_sup_supplier,sup_clean_name2,nvarchar(192),,
t_sup_supplier,sup_code,varchar(128),,
t_sup_supplier,sup_code_calculated,varchar(13),,
t_sup_supplier,sup_comment,nvarchar,,
t_sup_supplier,sup_commodity_comment_ar,nvarchar,,
t_sup_supplier,sup_commodity_comment_de,nvarchar,,
t_sup_supplier,sup_commodity_comment_en,nvarchar,,
t_sup_supplier,sup_commodity_comment_es,nvarchar,,
t_sup_supplier,sup_commodity_comment_fr,nvarchar,,
t_sup_supplier,sup_commodity_comment_it,nvarchar,,
t_sup_supplier,sup_commodity_comment_ja,nvarchar,,
t_sup_supplier,sup_commodity_comment_pl,nvarchar,,
t_sup_supplier,sup_commodity_comment_pt,nvarchar,,
t_sup_supplier,sup_commodity_comment_zh,nvarchar,,
t_sup_supplier,sup_corp_name_ar,nvarchar(192),,
t_sup_supplier,sup_corp_name_de,nvarchar(192),,
t_sup_supplier,sup_corp_name_en,nvarchar(192),,
t_sup_supplier,sup_corp_name_es,nvarchar(192),,
t_sup_supplier,sup_corp_name_fr,nvarchar(192),,
t_sup_supplier,sup_corp_name_it,nvarchar(192),,
t_sup_supplier,sup_corp_name_ja,nvarchar(192),,
t_sup_supplier,sup_corp_name_pl,nvarchar(192),,
t_sup_supplier,sup_corp_name_pt,nvarchar(192),,
t_sup_supplier,sup_corp_name_zh,nvarchar(192),,
t_sup_supplier,sup_dnb_code,varchar(50),,
t_sup_supplier,sup_doc_followed,bit,,
t_sup_supplier,sup_duns_number,nvarchar(50),,
t_sup_supplier,sup_earlypayment_activated,bit,,
t_sup_supplier,sup_earlypayment_discount_days,int,,
t_sup_supplier,sup_earlypayment_discount_percentage,decimal,,
t_sup_supplier,sup_ecovadis_activated,bit,,
t_sup_supplier,sup_effect,int,,
t_sup_supplier,sup_email,nvarchar(128),,
t_sup_supplier,sup_factoring,bit,,
t_sup_supplier,sup_fax,nvarchar(50),,
t_sup_supplier,sup_general_account,varchar(128),,
t_sup_supplier,sup_grouping_order,bit,,
t_sup_supplier,sup_iban,nvarchar(34),,
t_sup_supplier,sup_id,int,yes,
t_sup_supplier,sup_id_factor,int,,
t_sup_supplier,sup_id_from,int,,
t_sup_supplier,sup_id_parent,int,,
t_sup_supplier,sup_id_parent_modified,datetime,,
t_sup_supplier,sup_inco_place,nvarchar(128),,
t_sup_supplier,sup_intragroup,bit,,
t_sup_supplier,sup_is_change_request_auto_validated,bit,,
t_sup_supplier,sup_isin,varchar(128),,
t_sup_supplier,sup_isorderadrsame,bit,,
t_sup_supplier,sup_ispayadrsame,bit,,
t_sup_supplier,sup_name_ar,nvarchar(192),,
t_sup_supplier,sup_name_de,nvarchar(192),,
t_sup_supplier,sup_name_en,nvarchar(192),,
t_sup_supplier,sup_name_es,nvarchar(192),,
t_sup_supplier,sup_name_fr,nvarchar(192),,
t_sup_supplier,sup_name_it,nvarchar(192),,
t_sup_supplier,sup_name_ja,nvarchar(192),,
t_sup_supplier,sup_name_pl,nvarchar(192),,
t_sup_supplier,sup_name_pt,nvarchar(192),,
t_sup_supplier,sup_name_zh,nvarchar(192),,
t_sup_supplier,sup_nin,nvarchar(50),,
t_sup_supplier,sup_nscrl,varchar(8),,
t_sup_supplier,sup_phone,nvarchar(50),,
t_sup_supplier,sup_public,bit,,
t_sup_supplier,sup_registration_place,nvarchar(192),,
t_sup_supplier,sup_riskmethod_activated,bit,,
t_sup_supplier,sup_search_string_ar,nvarchar(192),,
t_sup_supplier,sup_search_string_de,nvarchar(192),,
t_sup_supplier,sup_search_string_en,nvarchar(192),,
t_sup_supplier,sup_search_string_es,nvarchar(192),,
t_sup_supplier,sup_search_string_fr,nvarchar(192),,
t_sup_supplier,sup_search_string_it,nvarchar(192),,
t_sup_supplier,sup_search_string_ja,nvarchar(192),,
t_sup_supplier,sup_search_string_pl,nvarchar(192),,
t_sup_supplier,sup_search_string_pt,nvarchar(192),,
t_sup_supplier,sup_search_string_zh,nvarchar(192),,
t_sup_supplier,sup_shared_capital,nvarchar(192),,
t_sup_supplier,sup_siren,nvarchar(20),,
t_sup_supplier,sup_siret,nvarchar(50),,
t_sup_supplier,sup_thirdparty_date,datetime,,
t_sup_supplier,sup_thirdparty_status,varchar(128),,
t_sup_supplier,sup_thirdparty_status_date,datetime,,
t_sup_supplier,sup_timesheet_generate_invoice,bit,,
t_sup_supplier,sup_tva_ic,nvarchar(40),,
t_sup_supplier,sup_vat_account,varchar(128),,
t_sup_supplier,sup_website,nvarchar(192),,
t_sup_supplier,sup_year,int,,
t_sup_supplier,adr_id_office,int,,t_bas_address.adr_id
t_sup_supplier,lvl_code,varchar(20),,
t_sup_supplier,modified,datetime,,
t_sup_supplier,paymenttype_code,varchar(128),,
t_sup_supplier,payterm_code,varchar(128),,
t_sup_supplier,revision,timestamp,,
t_sup_supplier,sec_id,int,,
t_sup_supplier,status_code,varchar(128),,
t_sup_supplier,status_legal,nvarchar(192),,
t_sup_supplier,styp_code,varchar(128),,
t_sup_supplier,sup_ape_naf,nvarchar(64),,
t_sup_supplier,sup_association,bit,,
t_sup_supplier,sup_auxiliary_account,varchar(128),,
t_sup_supplier,sup_bban,nvarchar(30),,
t_sup_supplier,sup_bic,nvarchar(14),,
t_sup_supplier,sup_bvd_code,varchar(50),,
t_sup_supplier,sup_catalog,nvarchar(1024),,
t_sup_supplier,sup_change_request_reason,nvarchar,,
t_sup_supplier,sup_clean_name,nvarchar(192),,
